resp_id,worker_pre,att_covid_selfsevere,age,weight_main
280,yes,Somewhat disagree,55,0
281,no,Strongly disagree,63,0
282,yes,Neutral,28,0
283,yes,Strongly agree,63,0
285,yes,Somewhat disagree,50,0
286,yes,Somewhat agree,46,0
289,yes,Strongly agree,48,0
290,yes,Somewhat agree,60,0
292,yes,Neutral,53,0
293,yes,Neutral,42,0
295,no,Strongly agree,78,0
296,yes,Neutral,44,0
297,yes,Neutral,28,0
299,yes,Somewhat agree,48,0
300,yes,Somewhat disagree,46,0
301,yes,Neutral,49,0
302,yes,Strongly agree,47,0
303,yes,Neutral,47,0
305,yes,Strongly agree,42,0
306,yes,Somewhat disagree,48,0
307,yes,Neutral,62,0
309,yes,Somewhat disagree,40,0
310,yes,Somewhat agree,35,0
311,yes,Strongly agree,59,0
312,no,Strongly agree,72,0
313,yes,Neutral,31,0
314,yes,Strongly agree,45,0
315,yes,Neutral,40,0
316,no,Strongly agree,70,0
317,yes,Neutral,49,0
318,yes,Somewhat agree,79,0
319,yes,Somewhat agree,34,0
320,yes,Somewhat disagree,43,0
321,no,Strongly agree,61,0
322,yes,Somewhat agree,63,0
323,yes,Somewhat agree,47,0
324,yes,Neutral,61,0
325,yes,Strongly agree,26,0
326,yes,Strongly agree,32,0
329,yes,Somewhat disagree,38,0
330,yes,Strongly disagree,30,0
332,yes,Neutral,36,0
333,yes,Strongly agree,41,0
334,yes,Somewhat disagree,31,0
335,yes,Somewhat disagree,39,0
336,no,Strongly agree,66,0
337,yes,Neutral,39,0
339,no,Somewhat agree,66,0
341,yes,Neutral,53,0
342,yes,Somewhat disagree,32,0
343,yes,Somewhat disagree,43,0
345,yes,Somewhat disagree,45,0
346,yes,Somewhat disagree,34,0
348,yes,Somewhat agree,33,0
349,yes,Somewhat agree,46,0
350,yes,Somewhat disagree,36,0
351,yes,Strongly agree,62,0
352,yes,Strongly agree,45,0
353,no,Strongly agree,70,0
354,yes,Somewhat disagree,55,0
355,yes,Somewhat agree,28,0
356,no,Somewhat agree,22,0
357,yes,Strongly agree,51,0
358,yes,Strongly disagree,23,0
359,no,Strongly agree,72,0
360,yes,Neutral,37,0
361,yes,Somewhat agree,31,0
362,yes,Somewhat agree,54,0
363,yes,Somewhat disagree,51,0
365,yes,Neutral,62,0
366,yes,Somewhat agree,35,0
368,no,Neutral,49,0
369,yes,Strongly agree,54,0
370,yes,Strongly disagree,45,0
371,no,Strongly agree,64,0
373,yes,Strongly agree,43,0
374,yes,Somewhat agree,62,0
375,yes,Strongly agree,28,0
376,yes,Somewhat disagree,42,0
377,yes,Somewhat disagree,49,0
378,yes,Strongly agree,33,0
379,yes,Somewhat agree,42,0
380,yes,Strongly agree,61,0
381,no,Somewhat agree,67,0
382,yes,Somewhat agree,22,0
383,yes,Somewhat agree,52,0
384,yes,Somewhat agree,48,0
385,yes,Strongly disagree,49,0
386,yes,Somewhat disagree,29,0
387,yes,Somewhat agree,60,0
388,yes,Strongly disagree,33,0
389,yes,Strongly agree,31,0
390,yes,Somewhat agree,39,0
391,yes,Strongly disagree,29,0
392,yes,Neutral,37,0
393,yes,Somewhat agree,42,0
